wheel,station,sector,NSegments,xx,yy,zz,aa,bb,cc
0,4,4,None,9.45E-05,,0.007123057857,2.70E-06,4.47E-06,3.04E-08
0,4,5,55505,8.42E-05,,0.0050095,1.04E-06,3.19E-07,3.49E-08
0,4,6,56375,8.40E-05,,0.00525594,1.03E-06,3.16E-07,3.53E-08
0,4,7,56803,8.34E-05,,0.0051737,1.03E-06,3.17E-07,3.46E-08
0,4,8,58009,7.33E-05,,0.00395201,9.56E-07,2.98E-07,2.87E-08
0,4,9,18196,0.000270789,,0.0154633,1.22E-05,3.01E-05,5.35E-08
0,4,10,None,9.45E-05,,0.007123057857,2.70E-06,4.47E-06,3.04E-08
0,4,11,19019,0.000266868,,0.0395238,1.64E-05,2.95E-05,5.13E-08
0,4,12,55755,7.72E-05,,0.00476891,1.02E-06,3.14E-07,3.11E-08
0,4,13,None,9.45E-05,,0.007123057857,2.70E-06,4.47E-06,3.04E-08
0,4,14,None,9.45E-05,,0.007123057857,2.70E-06,4.47E-06,3.04E-08
1,1,1,29503,1.98E-05,0.000352273,0.000930671,2.85E-08,3.31E-08,5.51E-09
1,1,2,26641,2.18E-05,0.000382566,0.00101398,3.15E-08,3.68E-08,6.27E-09
1,1,3,34706,1.68E-05,0.000299615,0.000788639,2.36E-08,2.68E-08,4.52E-09
1,1,4,13914,4.97E-05,0.00112995,0.00246424,1.07E-07,9.35E-08,3.06E-08
1,1,5,31310,1.94E-05,0.000334112,0.000878682,2.65E-08,3.03E-08,5.15E-09
1,1,6,35650,1.72E-05,0.000297969,0.000784037,2.36E-08,2.67E-08,4.55E-09
1,1,7,34147,1.81E-05,0.000306557,0.000811292,2.45E-08,2.81E-08,4.71E-09
